1900-1945,1946-1955,1956-1965,1966-1975,1976-1985,1986-1995,1996-2005,2006-2015,latitude,longitude,Origin
0,0,0,4,0,0,6,9,42.546245,1.601554,Andorra
0,0,0,18,101,512,1466,5265,23.424076,53.847818,United Arab Emirates
0,4,3,47,574,3827,10965,28596,33.93911,67.709953,Afghanistan
0,0,0,9,3,4,11,14,17.060816,-61.796428,Antigua and Barbuda
23,47,49,105,48,209,1057,1117,41.153332,20.168331,Albania
0,4,20,103,96,374,251,267,40.069099,45.038189,Armenia
0,0,0,29,134,127,64,88,-11.202692,17.873887,Angola
9,56,247,2838,3276,2159,1491,2616,-38.416097,-63.616672,Argentina
234,3908,4474,2113,1131,965,894,1024,47.516231,14.550072,Austria
0,0,8,7,15,10,7,7,12.52111,-69.968338,Aruba
0,0,0,3,20,87,121,268,40.143105,47.576927,Azerbaijan
3,76,456,2641,645,7228,11097,1320,43.915886,17.679076,Bosnia and Herzegovina
0,0,18,119,63,34,49,79,13.193887,-59.543198,Barbados
0,0,31,256,532,3056,11407,23532,23.684994,90.356331,Bangladesh
18,394,791,883,583,492,906,1930,50.503887,4.469936,Belgium
0,0,0,0,0,3,9,22,12.238333,-1.561593,Burkina Faso
20,86,50,210,202,699,831,1040,42.733883,25.48583,Bulgaria
0,7,39,115,87,255,248,786,25.930414,50.637772,Bahrain
0,0,7,0,6,9,471,1532,-3.373056,29.918886,Burundi
0,0,0,0,0,4,5,64,9.30769,2.315834,Benin
0,13,35,124,36,40,84,120,32.321384,-64.75737,Bermuda
0,11,55,117,236,841,581,738,4.535277,114.727669,Brunei
0,6,9,155,148,140,152,224,-16.290154,-63.588653,Bolivia
6,36,113,529,545,1175,3420,17769,-14.235004,-51.92528,Brazil
0,0,3,80,33,28,33,54,25.03428,-77.39628,Bahamas
0,0,0,0,0,8,55,5151,27.514162,90.433601,Bhutan
0,0,7,9,29,71,338,614,-22.328474,24.684866,Botswana
0,120,13,3,102,503,369,525,53.709807,27.953389,Belarus
0,0,6,8,9,16,12,14,17.189877,-88.49765,Belize
101,308,1464,5070,4506,5318,8235,15492,56.130366,-106.346771,Canada
0,0,35,51,51,88,501,2988,-4.038333,21.758664,"Congo, Democratic Republic of"
0,0,0,0,0,0,0,23,6.611111,20.939444,Central African Republic
0,0,24,19,18,13,193,996,-0.228021,15.827659,"Congo, Republic of"
30,374,893,2140,1604,1810,2119,2596,46.818188,8.227512,Switzerland
0,0,0,4,8,30,124,310,7.539989,-5.54708,Cote d'Ivoire
0,6,19,70,595,1345,2384,2051,-21.236736,-159.777671,Cook Islands
6,13,49,6129,6816,6556,1602,3423,-35.675147,-71.542969,Chile
0,0,0,3,3,12,69,275,7.369722,12.354722,Cameroon
390,1686,4133,3042,10775,62443,101826,275899,35.86166,104.195397,China
0,5,29,553,607,915,2637,11814,4.570868,-74.297333,Colombia
0,3,13,60,65,71,46,145,9.748917,-83.753428,Costa Rica
0,7,5,142,59,34,137,290,21.521757,-77.781167,Cuba
0,0,0,4,3,7,5,12,16.002082,-24.013197,Cape Verde
29,2133,2088,6180,3734,1058,515,655,35.126413,33.429859,Cyprus
14,614,131,1384,1362,880,1023,1909,49.817492,15.472962,Czech Republic
479,27449,17916,11271,9436,6605,9766,15077,51.165691,10.451526,Germany
0,0,4,7,3,39,36,69,11.825138,42.590275,Djibouti
16,248,1232,1999,1352,1263,967,1244,56.26392,9.501785,Denmark
0,0,0,4,0,3,7,16,15.414999,-61.370976,Dominica
0,0,0,3,11,12,22,91,18.735693,-70.162651,Dominican Republic
0,9,80,202,84,211,379,351,28.033886,1.659626,Algeria
0,7,3,559,188,271,320,772,-1.831239,-78.183406,Ecuador
19,753,34,17,15,56,108,1207,58.595272,25.013607,Estonia
49,2772,5281,6910,2159,6298,4858,9581,26.820553,30.802498,Egypt
0,12,14,39,52,783,1056,2057,15.179384,39.782334,Eritrea
21,112,2870,4026,1598,651,738,4175,40.463667,-3.74922,Spain
0,24,38,188,221,1355,3515,5641,9.145,40.489673,Ethiopia
14,115,1900,2710,526,410,504,1152,61.92411,25.748151,Finland
127,289,867,2341,6324,18670,15519,14917,-16.578193,179.414413,Fiji
0,7,15,13,7,15,15,13,-51.796253,-59.523613,Falkland Islands
51,928,1037,4474,2080,2153,4106,13445,46.227638,2.213749,France
0,0,0,4,0,5,5,22,-0.803689,11.609444,Gabon
0,0,4,42,34,15,10,10,12.262776,-61.604171,Grenada
0,0,0,9,29,128,159,143,42.315407,43.356892,Georgia
0,0,0,0,0,0,5,7,3.933889,-53.125782,French Guiana
3,37,90,170,83,77,94,146,49.465691,-2.585278,Guernsey
0,0,48,163,280,701,1174,2533,7.946527,-1.023194,Ghana
0,8,56,131,59,46,45,71,36.137741,-5.345374,Gibraltar
0,0,4,7,5,6,21,55,13.443182,-15.310139,Gambia
0,0,0,3,6,0,217,539,9.945587,-9.696645,Guinea
0,0,0,0,0,3,0,6,16.995971,-62.067641,Guadeloupe
329,9246,39150,27663,3944,2278,1605,5355,39.074208,21.824312,Greece
0,0,0,14,64,125,65,154,15.783471,-90.230759,Guatemala
0,0,0,7,11,12,27,33,13.444304,144.793731,Guam
0,0,46,109,109,98,79,86,4.860416,-58.93018,Guyana
115,191,140,557,272,598,394,550,31.354676,34.308825,Gaza Strip
191,337,1257,4107,11953,26463,15996,21851,22.396428,114.109497,Hong Kong
0,0,4,5,22,127,35,61,15.199999,-86.241905,Honduras
